document,date,entorno,WordCount,SentimentGI,NegativityGI,PositivityGI,SentimentHE,NegativityHE,PositivityHE,SentimentLM,NegativityLM,PositivityLM,RatioUncertaintyLM,SentimentQDAP,NegativityQDAP,PositivityQDAP
96,2013-06-01,international,109,0.009174311926605505,0.03669724770642202,0.045871559633027525,0.009174311926605505,0.01834862385321101,0.027522935779816515,-0.009174311926605505,0.009174311926605505,0,0.01834862385321101,0.01834862385321101,0,0.01834862385321101
97,2013-06-01,national,73,-0.0136986301369863,0.0273972602739726,0.0136986301369863,-0.0136986301369863,0.0136986301369863,0,0,0,0,0,0,0,0
98,2013-06-01,national,53,0.05660377358490566,0.018867924528301886,0.07547169811320754,-0.018867924528301886,0.018867924528301886,0,0,0,0,0.018867924528301886,0.018867924528301886,0,0.018867924528301886
99,2013-06-01,both,43,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.023255813953488372,0,0.023255813953488372,0.023255813953488372,0,0.023255813953488372,0,0.046511627906976744,0,0.046511627906976744
100,2013-07-01,national,21,0.047619047619047616,0,0.047619047619047616,0,0,0,0,0,0,0,0.047619047619047616,0,0.047619047619047616
101,2013-07-01,national,58,0.034482758620689655,0,0.034482758620689655,-0.017241379310344827,0.017241379310344827,0,0,0,0,0.017241379310344827,-0.017241379310344827,0.017241379310344827,0
102,2013-07-01,international,76,-0.013157894736842105,0.013157894736842105,0,0.039473684210526314,0,0.039473684210526314,-0.013157894736842105,0.013157894736842105,0,0,0,0,0
103,2013-07-01,international,50,-0.02,0.06,0.04,0.02,0.02,0.04,-0.02,0.02,0,0,-0.02,0.02,0
104,2013-07-01,national,81,0.037037037037037035,0.012345679012345678,0.04938271604938271,0.037037037037037035,0,0.037037037037037035,0.012345679012345678,0,0.012345679012345678,0,0.024691358024691357,0,0.024691358024691357
105,2013-07-01,both,43,0,0.046511627906976744,0.046511627906976744,0,0,0,-0.023255813953488372,0.023255813953488372,0,0,0.046511627906976744,0,0.046511627906976744
106,2013-08-01,national,41,0.04878048780487805,0,0.04878048780487805,0,0,0,-0.024390243902439025,0.024390243902439025,0,0,0.07317073170731707,0,0.07317073170731707
107,2013-08-01,national,58,0.034482758620689655,0.017241379310344827,0.05172413793103448,0,0,0,0,0,0,0.017241379310344827,0,0,0
108,2013-08-01,international,97,-0.020618556701030927,0.041237113402061855,0.020618556701030927,0.010309278350515464,0.030927835051546393,0.041237113402061855,-0.010309278350515464,0.010309278350515464,0,0.010309278350515464,-0.010309278350515464,0.010309278350515464,0
109,2013-08-01,national,112,0,0.026785714285714284,0.026785714285714284,0.026785714285714284,0.008928571428571428,0.03571428571428571,-0.03571428571428571,0.03571428571428571,0,0,0.026785714285714284,0,0.026785714285714284
110,2013-08-01,both,43,0,0.046511627906976744,0.046511627906976744,0,0,0,-0.023255813953488372,0.023255813953488372,0,0,0.046511627906976744,0,0.046511627906976744
111,2013-09-01,national,21,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2013-09-01,national,74,0.04054054054054054,0,0.04054054054054054,0,0.013513513513513514,0.013513513513513514,0.013513513513513514,0,0.013513513513513514,0,0.013513513513513514,0,0.013513513513513514
113,2013-09-01,international,196,0.00510204081632653,0.025510204081632654,0.030612244897959183,0.030612244897959183,0,0.030612244897959183,-0.015306122448979591,0.015306122448979591,0,0.00510204081632653,0.01020408163265306,0,0.01020408163265306
114,2013-09-01,national,103,0.04854368932038835,0.009708737864077669,0.05825242718446602,0.019417475728155338,0.009708737864077669,0.02912621359223301,0.019417475728155338,0,0.019417475728155338,0.009708737864077669,0,0.009708737864077669,0.009708737864077669
115,2013-09-01,national,40,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0
116,2013-09-01,both,43,0,0.046511627906976744,0.046511627906976744,0,0,0,-0.023255813953488372,0.023255813953488372,0,0,0.046511627906976744,0,0.046511627906976744
117,2013-10-01,national,21,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2013-10-01,national,52,0.057692307692307696,0,0.057692307692307696,0.019230769230769232,0,0.019230769230769232,0.019230769230769232,0,0.019230769230769232,0,0.019230769230769232,0,0.019230769230769232
119,2013-10-01,international,67,0.014925373134328358,0.029850746268656716,0.04477611940298507,0.05970149253731343,0,0.05970149253731343,-0.014925373134328358,0.029850746268656716,0.014925373134328358,0,0.029850746268656716,0,0.029850746268656716
120,2013-10-01,international,99,0,0.020202020202020204,0.020202020202020204,-0.010101010101010102,0.010101010101010102,0,0,0,0,0,0.010101010101010102,0,0.010101010101010102
121,2013-10-01,national,108,0.027777777777777776,0.018518518518518517,0.046296296296296294,0.018518518518518517,0,0.018518518518518517,-0.009259259259259259,0.009259259259259259,0,0,0.027777777777777776,0.009259259259259259,0.037037037037037035
122,2013-10-01,national,43,0,0.046511627906976744,0.046511627906976744,0,0,0,-0.023255813953488372,0.023255813953488372,0,0,0.046511627906976744,0,0.046511627906976744
123,2013-11-01,national,21,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2013-11-01,national,52,0.057692307692307696,0,0.057692307692307696,0.019230769230769232,0,0.019230769230769232,0.019230769230769232,0,0.019230769230769232,0,0.019230769230769232,0,0.019230769230769232
125,2013-11-01,international,67,0.014925373134328358,0.029850746268656716,0.04477611940298507,0.05970149253731343,0,0.05970149253731343,-0.014925373134328358,0.029850746268656716,0.014925373134328358,0,0.029850746268656716,0,0.029850746268656716
126,2013-11-01,international,99,0,0.020202020202020204,0.020202020202020204,-0.010101010101010102,0.010101010101010102,0,0,0,0,0,0.010101010101010102,0,0.010101010101010102
127,2013-11-01,national,108,0.027777777777777776,0.018518518518518517,0.046296296296296294,0.018518518518518517,0,0.018518518518518517,-0.009259259259259259,0.009259259259259259,0,0,0.027777777777777776,0.009259259259259259,0.037037037037037035
128,2013-11-01,both,43,0,0.046511627906976744,0.046511627906976744,0,0,0,-0.023255813953488372,0.023255813953488372,0,0,0.046511627906976744,0,0.046511627906976744
129,2013-12-01,national,20,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2013-12-01,national,52,0.057692307692307696,0,0.057692307692307696,0.019230769230769232,0,0.019230769230769232,0.019230769230769232,0,0.019230769230769232,0,0.038461538461538464,0,0.038461538461538464
131,2013-12-01,international,91,-0.04395604395604396,0.06593406593406594,0.02197802197802198,0.03296703296703297,0.01098901098901099,0.04395604395604396,0,0,0,0,0.01098901098901099,0,0.01098901098901099
132,2013-12-01,national,48,0.020833333333333332,0.041666666666666664,0.0625,0.0625,0,0.0625,0.020833333333333332,0,0.020833333333333332,0,0.041666666666666664,0,0.041666666666666664
